episode,reward
0,-62.5
1,-56.0
2,-46.0
3,-46.0
4,-45.0
5,-44.0
6,-46.0
7,-43.5
8,-46.5
9,-44.5
10,-37.0
11,-119.0
12,-45.5
13,-45.0
14,-53.5
15,-35.0
16,-48.5
17,-39.5
18,-42.5
19,-42.0
20,-35.0
21,-45.5
22,-44.0
23,-42.5
24,-40.5
25,-35.0
26,-35.0
27,-44.5
28,-52.0
29,-33.5
30,-22.5
31,-52.0
32,-45.5
33,-42.5
34,-10.0
35,-44.0
36,-42.5
37,-48.5
38,-36.5
39,-39.5
40,-38.5
41,-16.0
42,-79.5
43,-45.5
44,-39.5
45,-46.0
46,-46.0
47,-39.0
48,-13.5
49,-50.5
50,-55.0
51,-45.5
52,-45.0
53,-49.5
54,-34.0
55,-33.5
56,-38.0
57,-43.5
58,-39.5
59,-40.0
60,-40.0
61,-45.0
62,-37.5
63,45.5
64,-33.5
65,-44.0
66,-16.5
67,-50.0
68,-35.5
69,-80.0
70,-85.0
71,-47.5
72,-78.0
73,-24.0
74,-45.5
75,-41.5
76,-31.5
77,-14.0
78,-42.0
79,-43.5
80,87.5
81,-35.0
82,-17.5
83,-40.5
84,-23.0
85,-39.0
86,-45.0
87,-32.0
88,-10.0
89,-4.5
90,139.5
91,-33.0
92,16.0
93,-5.5
94,-29.0
95,26.5
96,40.5
97,38.5
98,-72.0
99,-46.5
100,32.5
101,-18.0
102,-4.5
103,-13.5
104,114.0
105,-32.5
106,162.5
107,-8.5
108,34.0
109,62.0
110,141.0
111,-34.5
112,264.0
113,15.5
114,12.0
115,-38.0
116,-35.0
117,73.5
118,-39.0
119,390.5
120,-37.0
121,53.0
122,66.5
123,-34.0
124,34.5
125,-25.0
126,618.5
127,362.5
128,346.5
129,116.5
130,328.5
131,254.5
132,678.5
133,-14.5
134,195.0
135,262.5
136,-7.5
137,38.0
138,674.5
139,186.5
140,207.5
141,659.0
142,356.5
143,245.5
144,263.5
145,727.5
146,106.5
147,735.0
148,538.5
149,11.0
150,683.0
151,772.0
152,418.0
153,19.5
154,71.0
155,154.5
156,707.5
157,672.5
158,255.5
159,467.0
160,502.5
161,405.5
162,17.5
163,49.5
164,-23.0
165,793.5
166,348.5
167,111.0
168,320.5
169,22.5
170,-28.5
171,74.5
172,385.5
173,237.5
174,758.0
175,551.5
176,50.0
177,816.5
178,791.5
179,777.0
180,456.5
181,797.5
182,635.0
183,731.0
184,790.0
185,736.5
186,747.5
187,643.0
188,775.0
189,119.0
190,417.5
191,795.5
192,129.0
193,797.0
194,822.5
195,789.0
196,-39.5
197,816.5
198,79.0
199,134.5
